Numéro JPG page,Numéro de page,Texte
LC_O_120263_1973_0024.jpg,24," Une filature automatisée à Moscou Combinat métallurgique en Sibérie occidentale Khabarovsk, grand centre industriel et culturel en Extrême-Orient La première place au monde pour la variété et la qualité de la fourrure revient à l'U.R.S.S."
LC_O_120263_1973_0025.jpg,25,  
LC_O_120263_1973_0026.jpg,26,  
LC_O_120263_1973_0027.jpg,27,  
LC_O_120263_1973_0028.jpg,28,  
LC_O_120263_1973_0029.jpg,29,  
LC_O_120263_1973_0030.jpg,30,  
LC_O_120263_1973_0031.jpg,31,  
LC_O_120263_1973_0032.jpg,32," Usine de machines-outils à Minsk A l'Institut de physique de l'Académie des Sciences de la R.S.S. de Biélorussie où a été créé un laser organique « Belaz », usine d'automobiles Combinat de cotonnades de Baranovitchi"
LC_O_120263_1973_0033.jpg,33, Collège technique de bonification à Pinsk La production de l'usine de tracteurs de Minsk
LC_O_120263_1973_0034.jpg,34, La République Socialiste Soviétique d'Ouzbékistan Territoire: 447 400 km2 Population: 12 902 000 h Capitale: Tachkent (1 504 000 h)
LC_O_120263_1973_0035.jpg,35," iHSS""s» » js^aani *v =-— NflÉUB.nilLik^"
LC_O_120263_1973_0036.jpg,36, La centrale hydro-électrique du Syr- Daria en chantier Lachkent reconstruit après le tremblement de terre en 1966 Assemblage d'une turbine Réacteur de l'Institut de physique nucléaire de l'Académie des Sciences de la R.S.S. d'Ouzbékistan
LC_O_120263_1973_0037.jpg,37," mm L'Ouzbékistan est le principal producteur de coton Mirountaou, complexe d'extraction de l'or dans le désert Kyzylkoum m '» •"
LC_O_120263_1973_0038.jpg,38,  
LC_O_120263_1973_0039.jpg,39,  
LC_O_120263_1973_0040.jpg,40, Le verger du jovkhoze « Gorny guigante » Le cosmodrome de Batkonour
LC_O_120263_1973_0041.jpg,41,  
LC_O_120263_1973_0042.jpg,42,  
LC_O_120263_1973_0043.jpg,43,  
LC_O_120263_1973_0044.jpg,44,  
LC_O_120263_1973_0045.jpg,45,  
LC_O_120263_1973_0046.jpg,46,  
LC_O_120263_1973_0047.jpg,47,  
LC_O_120263_1973_0048.jpg,48, Des pionniers de l'école N° 46 de Bakou Soudage automatique des jointures de tube La production de la conserverie de poissons Kirov Place Nizami à Bakou
LC_O_120263_1973_0049.jpg,49, Foreuse flottante Raffinerie de pétrole à Bakou
LC_O_120263_1973_0050.jpg,50,  
LC_O_120263_1973_0051.jpg,51,  
LC_O_120263_1973_0052.jpg,52, Dans le port de Kldipéda Usine d'articles en plastique à Vilnius
LC_O_120263_1973_0053.jpg,53,  
LC_O_120263_1973_0054.jpg,54,  
LC_O_120263_1973_0055.jpg,55,  
LC_O_120263_1973_0056.jpg,56," .. j' il .'ii ifr * Usine de vin et de cognac à Beltsy Des fruits de la terre généreuse de Moldavie Trembita, instrument de musique populaire L'usine d'appareils électriques de précision de Kichinev"
LC_O_120263_1973_0057.jpg,57,  
LC_O_120263_1973_0058.jpg,58,  
LC_O_120263_1973_0059.jpg,59,  
LC_O_120263_1973_0060.jpg,60,  
LC_O_120263_1973_0061.jpg,61,  
LC_O_120263_1973_0062.jpg,62,  
LC_O_120263_1973_0063.jpg,63,  
LC_O_120263_1973_0064.jpg,64,  
LC_O_120263_1973_0065.jpg,65," Le théâtre dramatique kirghiz à Frounze K. Kourmanov, président du kolkhoze, accueille des hôtes étrangers"
LC_O_120263_1973_0066.jpg,66,  
LC_O_120263_1973_0067.jpg,67,  
LC_O_120263_1973_0068.jpg,68, La centrale hydro-électrique de Nourck en chantier L'étude au microscope électronique d'une cellule végétale Au Bureau d'études du bâtiment et d'architecture Chèvres angora
LC_O_120263_1973_0069.jpg,69,  
LC_O_120263_1973_0070.jpg,70,  
LC_O_120263_1973_0071.jpg,71,  
LC_O_120263_1973_0072.jpg,72,  
LC_O_120263_1973_0073.jpg,73,  
LC_O_120263_1973_0074.jpg,74,  
LC_O_120263_1973_0075.jpg,75,  
LC_O_120263_1973_0076.jpg,76, W :f Montage d'une machine hydraulique solaire La construction de la centrale hydro électrique de Mary Explorateurs du désert L'hôtel « Achkhabad
LC_O_120263_1973_0077.jpg,77,  
LC_O_120263_1973_0078.jpg,78,  
LC_O_120263_1973_0079.jpg,79,  
LC_O_120263_1973_0080.jpg,80," A l'Institut de chimie de VAcadémie des Sciences de la R.S.S. d'Estonie Chaîna Goulordava, chirurgien-chef de la R.S.S. d'Estonie Le port de Tallinn Le combinat de schiste à Kohtla-Jdrve"
LC_O_120263_1973_0081.jpg,81, L'usine d'excavateurs à Tallinn La salle des turbines à la centrale hydro-électrique d'Estonie à Narva
LC_O_120263_1973_0082.jpg,82,  
LC_O_120263_1973_0083.jpg,83," AU SEUIL DU DEUXIÈME CINQUANTENAIRE L'histoire semi-séculaire de l'Union des Républiques Socialistes Soviétiques, c'est l'histoire de l'unité et de l'amitié indestructibles des peuples de l'Etat socialiste soviétique. C'est l'histoire de la croissance extraordinaire et du développement harmonieux de l'Etat engendré par la révolution socialiste et qui est devenu aujourd'hui l'une des plus grandes puissances du monde. C'est enfin l'histoire du raffermissement et de l'épanouissement économique, politique et culturel véritable de toutes les républiques réunies sous sa bannière, de toutes les nations et ethnies du pays. A la veille de 1973, la classe ouvrière, la paysannerie kolkho zienne, les travailleurs intellec tuels, le peuple soviétique tout entier ont célébré le cinquante naire de la formation de l'Union des Républiques Socialistes Sovié tiques. Du 21 au 22 décembre 1972, s'est tenue à Moscou une séance solennelle commune du Comité central du P.C.U.S., du Soviet Suprême de l'U.R.S.S. et du Soviet Suprême de la R.S.F.S.R., consacrée à cet évé nement. Léonide Brejnev, Secrétaire gé néral du C.C. du P.C.U.S., a pré senté le rapport sur « Le cin quantenaire de l'Union des Ré publiques Socialistes Soviéti ques ». Ce document remarqua ble traite en profondeur les pro blèmes théoriques et pratiques liés à la solution de la question des nationalités en U.R.S.S., four nit une analyse de tous les aspects des résultats de l'activité titanesque du parti et du gouver nement soviétique en vue de promouvoir l'économie et la cul ture de toutes les nations et na tionalités de l'U.R.S.S., de former de nouveaux rapports entre les nations, fondés sur l'amitié et l'unité fraternelle. Il fait ressor tir l'importance historique mon diale de la voie semi-séculaire parcourue par les peuples sovié tiques. Le rapport de Léonide Brejnev, pénétré d'optimisme ré volutionnaire, fait le bilan de la grande activité menée par le par ti et le peuple pour mettre en oeuvre les décisions du XXIVe Congrès du parti ; traite de fa çon créatrice des problèmes com plexes des réalisations actuelles ; trace les nouvelles perspectives grandioses de l'édification com muniste. Les participants à la séance ont adopté à l'unanimité l'appel 6—624 81"
LC_O_120263_1973_0084.jpg,84," L'UNION DES REPUBLIQUES tALISTES SOVIÉTIQUES jPôlëzNordj [grande^bretagn ee ,msterdai >Khatanga iToura Les chiffres indiquent l-R. A. des Adyghéens 2-R.A. de Karotehaévo- Teherkessk 3-R.A. des Juifs 4-A.N. Bouriatski - Oust-Ordynski 5-A. N. des Komis - Permiaks S-A. N. Bouriatski-Aguinski 7-R.S.S.A. du Daghes tan 9-R.S.S.A. de Kabardino-Balkarie 9-R.S.S. A. des Mariis 10-R.S.S.A. de Mordovie II-R.S.S.A. d'Os sétie du Nord 12-R.S.S.A. d'Oudmourtie 13-R.S.S.A. de Tchétchéno-lngouchie 14-R.S.S.A. de Tchouva- chie 15-R.S.S.A. de Karakalpakie 16-R.S.S.A. d'Ab - khaiie 17-R.S.S.A. d'Adjane 18 - R. A. d'Ossétie du Sud 19-R.S.S. A. de Nakhitchévan 20 - R A. de Nagorno • Karabakh 21-R.A, de Gorno-Badakh- chan 22-Région de kaliningrad de la R.S.F.S-R. Frontières et limites d'Etat - | des territoires du Grand Nord appartenant à l'U.R.S.S. i—ii- des républiques fédérées des R.S.S.A. 1 limites des régions autonomes et arrondissements nationaux Voies de communication =^—= Voies férrées _____ Routes principales """""""" Canaux navi- >1/ Ports Echelle"
LC_O_120263_1973_0085.jpg,85," « Aux peuples du monde », mes sage de paix, d'amitié et de fra ternité envoyé à tous les peuples de la planète par les représen tants de plus de 100 nations et ethnies qui ont édifié le premier Etat socialiste dans l'histoire de l'humanité. Les solennités qui se sont dé roulées dans tout le pays ont été le bilan du demi-siècle de déve loppement de l'Etat soviétique multinational. Elles ont démontré son unité monolithique, la force vivifiante de l'amitié et de la fraternité des peuples du premier Etat socialiste au monde, leur union étroite autour du parti communiste léniniste. Le socialisme a ouvert les plus larges perspectives de développe ment à toutes les nations et eth nies de l'U.R.S.S. Les Soviétiques sont conscients dans une pleine mesure des ré sultats remarquables de la vic toire du socialisme, des nouveaux rapports sociaux qui ont assuré le puissant essor de l'économie, l'élévation constante du niveau culturel et du bien-être des tra vailleurs. C'est à Vladimir Ilitch Léni ne, dirigeant du parti et du peu ple, que revient le plus grand mérite dans la création de l'E tat socialiste multinational. Dé veloppant de façon créatrice les idées de Marx et d'Engels, il a créé une théorie harmonieuse de la question nationale et élaboré les principes scientifiques de la politique des nationalités du par ti communiste. Le parti de Lénine, la classe ouvrière ont résolument combat tu pour l'égalité en droits de toutes les nations et ethnies, pour le droit des nations à disposer d'elles-mêmes, droit qui va jus qu'à la formation d'Etats indé pendants, pour faire triompher l'alliance volontaire et étroite de peuples égaux en droits. « Si nous réclamons la liberté d'autodéter mination, écrivait Lénine peu avant la Révolution d'Octobre, c'est-à-dire l'indépendance, c'est- à-dire le droit de séparation pour les nations opprimées, ce n'est pas que nous visions au mor cellement économique, ni que nous souhaitions la formation de petits Etats ; c'est au contraire parce que nous voulons de grands Etats, parce que nous som mes pour le rapprochement et même la fusion des nations, mais sur une base réellement dé mocratique, réellement interna tionaliste, qui est inconcevable sans la liberté de séparation. » « Nous sommes des interna tionalistes jusqu'au bout, souli gnait Lénine, et. .. nous recher chons l'union librement consen tie des ouvriers et des paysans de toutes les nations. » L'expérience de la fondation d'un Etat multinational de type nouveau montre que seule la ré volution socialiste assure l'union étroite de toutes les forces po pulaires, classe ouvrière en tête, pour liquider le système d'ex ploitation capitaliste et, avec lui, le système d'oppression nationa le. L'établissement de la dictatu re du prolétariat a été une con dition politique décisive pour l'ac complissement de cette tâche historique, pour la formation d'un mode de vie socialiste des nations et ethnies du pays ; et l'établissement de la propriété sociale des moyens de production 84"
LC_O_120263_1973_0086.jpg,86," en a été la principale condition économique. Les principes fondamentaux de l'édification politique, économi que et culturelle à l'époque de la dictature du prolétariat ont été proclamés dans la Déclara tion des droits des peuples de Russie, dans la Déclaration des droits du peuple travailleur et ex ploité, dans les Constitutions de la Fédération de Russie et des autres républiques soviétiques, adoptées après la victoire d'Oc tobre. Toutes les républiques so viétiques fondées au cours de la révolution par les peuples de l'ancienne Russie tsariste avaient une tendance naturelle à vouloir se grouper en fédération. Ayant entrepris d'édifier le socialisme, elles se sont toujours plus étroi tement regroupées autour de la République Socialiste Fédérative Soviétique de Russie qui était une sorte de prototype de l'U.R.S.S. Au cours des cinq pre mières années du pouvoir sovié tique, on a accumulé une riche expérience en ce qui concerne le développement des nouveaux rapports socialistes et de la co opération entre les nations et ethnies. La fondation d'un Etat multi national des ouvriers et des pay sans a été la suite logique de l'œuvre du Grand Octobre, des transformations révolutionnaires' à l'échelle de tout le pays. Elle a été dictée par l'évolution objec tive de l'histoire. Sur la base d'une profonde analyse scientifi que, Lénine a démontré que : sans l'union la plus étroite des républiques soviétiques, il était impossible d'assurer leur existen ce face à l'impérialisme mondial ; le maintien et le renforcement de l'union des républiques socia listes constituent une mesure qui « nous est nécessaire comme elle l'est au prolétariat communiste mondial pour combattre la bour geoisie mondiale et pour se dé fendre contre ses intrigues » ; sans l'union des républiques soviétiques, sans leur coopération économique étroite, il n'était pas possible de relever les forces pro ductives détruites par l'impéria lisme, de créer une économie so cialiste unique, régie par un plan commun, d'assurer une division rationnelle du travail social et une utilisation efficace des ri chesses naturelles dans l'intérêt de tous les peuples du pays ; sans l'étroite union des répu bliques soviétiques, il n'était pas possible d'assurer l'amélioration constante du bien-être des tra vailleurs, le développement mul tiforme et l'épanouissement de la culture de toutes les nations et ethnies du pays. Tout cela exigeait de façon impérieuse que les républiques soviétiques s'unissent en un seul Etat fédéral capable d'assurer à la fois la sécurité à l'extérieur, la prospérité économique à l'in térieur et le libre développement national des peuples. Les congrès des Soviets de toutes les républiques adoptèrent des résolutions en faveur de l'u nion. Le 30 décembre 1922, le Ier Congrès des Soviets de l'U.R.S.S. adopta à l'unanimité la Déclaration sur la fondation de l'Union des Républiques So cialistes Soviétiques. Cette Dé claration exprimait la ferme assu rance que le nouvel Etat fédéral 85"
LC_O_120263_1973_0087.jpg,87," serait le digne aboutissement des fondements de cohabitation pacifique et de coopération fraternelle des peuples, qui avaient été jetées en octobre 1917. L'adhésion librement consentie des républiques soviétiques à l'U.R.S.S. a été une brillante ex pression de leur souveraineté so cialiste et a fourni de solides ga ranties au nouvel Etat. L'Accord sur la fondation de l'U.R.S.S., sur l'union au sein d'un même Etat, a été signé par la Républi que Socialiste Fédérative Sovié tique de Russie, la République Socialiste Soviétique d'Ukraine, la République Socialiste Soviéti que de Biélorussie, la République Socialiste Fédérative Soviétique de Transcaucasie (comprenant l'Azerbaïdjan, l'Arménie et la Géorgie). Les principes léninistes de l'u nion volontaire de peuples égaux en droits au sein d'un même Etat furent placés à la base de la pre mière Constitution de l'U.R.S.S. définitivement approuvée par le IIe Congrès des Soviets de l'U.R.S.S., le 31 janvier 1924. Au cours de l'édification du socialisme, des conditions socio- économiques favorables se sont peu à peu créées qui ont permis de poursuivre et de perfection ner l'organisation nationale et politique de l'U.R.S.S. En 1924, on a fondé les Républiques So cialistes Soviétiques de Turkmé- nie et d'Ouzbékistan et, en 1929, la République Socialiste Soviéti que du Tadjikistan. En 1936, les Républiques autonomes du Kaza khstan et de Kirghizie ont été transformées en républiques fé dérées. Cette même année, les Républiques soviétiques d'Azerbaïdjan, d'Arménie et de Géor gie qui formaient auparavant la République Socialiste Fédérative Soviétique de Transcaucasie ont adhéré directement à l'U.R.S.S. Le développement politique des nations que la révolution avait fait renaître a également trouvé son expression dans la fondation de républiques autonomes, de régions autonomes et d'arrondis sements nationaux. La Constitution de l'U.R.S.S., adoptée le 5 décembre 1936, a entériné sur le plan législatif la victoire du socialisme, les princi pes de l'organisation sociale et politique de la société socialiste, l'union des peuples soviétiques. La réunification du peuple uk rainien en 1939-1945 et celle du peuple biélorusse en 1939 ont été des événements marquants dans la vie de l'Etat socialiste sovié tique multinational. En 1940, au cours de leur lutte révolutionnai re, les travailleurs de Lettonie, de Lituanie et d'Estonie ont rétabli l'Etat soviétique ; se fondant sur la volonté librement exprimée par leurs peuples, les Républi ques soviétiques de Lettonie, de Lituanie et d'Estonie ont adhéré à l'U.R.S.S. A la suite de la réu nification du peuple moldave, la République socialiste soviétique autonome de Moldavie a été transformée en république fédé rée. La Grande Guerre Nationale a mis à rude épreuve la solidité de l'U.R.S.S. La guerre contre le pi re ennemi de l'humanité, le fas cisme hitlérien, a démontré à l'évidence que c'est seulement dans l'union, par leurs efforts communs que les peuples sovié tiques peuvent sauvegarder leur 86"
LC_O_120263_1973_0088.jpg,88," liberté et leur indépendance, leurs conquêtes révolutionnaires. La victoire historique remportée dans la Guerre Nationale a bril lamment démontré les avantages du régime social et politique so cialiste, la grande vitalité et l'in- destructibilité de l'Union des Ré publiques Socialistes Soviétiques. Les traits remarquables de l'a mitié léniniste des peuples de l'U.R.S.S. : fidélité à la Patrie so cialiste, esprit d'abnégation, amour du travail et entraide, ont continué de se renforcer au cours des années de relèvement de l'économie nationale après la guerre et dans la période d'édi fication communiste qui a suivi. Jamais encore l'histoire mondiale n'a connu, dans les rapports en tre dizaines de nations et d'èth- nies, une communauté d'intérêts et d'objectifs, de volonté et d'ac tion, une parenté spirituelle, une confiance et une attention réci proques telles que celles qui se manifestent dans l'union frater nelle des républiques soviéti ques. L'égalisation et le relèvement des niveaux de développement économique, social, politique et culturel ont joué un rôle impor tant pour le progrès rapide de toutes les républiques de l'U.R.S.S. dans tous les domai nes. A la veille de la Révolution d'Octobre 1917, les régions péri phériques de la Russie telles que l'Asie centrale et le Kazakhstan pouvaient être comparées, par leur niveau de développement économique et culturel, aux pays coloniaux sous-développés. Leur structure sociale était féodale ; la famine, les maladies, un taux d'analphabétisme de 90 à 96% en Asie centrale et de 82% au Kazakhstan, tel était le lot de la majeure partie de la popula tion. De nombreuses régions de la Transcaucasie et même la Biélorussie, proche du centre, se distinguaient également par leur retard économique. Sur l'initiative de Lénine, le parti a mis le cap sur le déve loppement économique, culturel, social et politique accéléré des régions périphériques du pays. Les régions plus évoluées et, avant tout, le peuple russe, sa classe ouvrière leur ont prêté une aide dans tous les domaines. De nombreuses usines ont été remi ses gratuitement aux républiques de la Transcaucasie, d'Asie cen trale et du Kazakhstan ; des cré dits ont été assignés à l'édifica tion industrielle et aux travaux d'irrigation dans ces républiques ; elles ont bénéficié d'une aide en vivres et en machines ; des ingé nieurs, techniciens, ouvriers qua lifiés, enseignants, médecins, tra vailleurs de la culture y ont été envoyés. Au cours de nombreuses an nées, les dépenses budgétaires de plusieurs républiques fédérées étaient couvertes principalement par le budget de l'Etat. La po pulation des républiques et des régions dont les conditions ma térielles étaient les plus diffici les, a été exonérée complètement ou en partie des impôts généraux et agricoles. Les prix d'achat des produits agricoles y ont été ma jorés pour contribuer au déve loppement de l'agriculture dans ces régions. 87"
LC_O_120263_1973_0089.jpg,89," La mise en commun de toutes les forces et ressources du pays a permis aux peuples soviétiques de combler dans un délai histori que très bref le retard écono mique et culturel hérité du tsa risme et du capitalisme, de me ner à bien l'industrialisation du pays et la refonte socialiste de l'agriculture, d'effectuer une ré volution culturelle authentique, d'édifier le socialisme et de faire de l'U.R.S.S. une grande puissan ce hautement développée, d'entreprendre l'édification de la société communiste. L'énorme énergie et l'initiative créatrice de toutes les nations et ethnies de l'Union Soviétique se sont manifestées avec une ampleur extraordinaire. Grâce à l'u nité de l'Etat, l'Union Soviétique a réussi à créer une puissance défensive invincible qui garantit aux peuples la liberté et l'indé pendance et des conditions de travail créateur pacifique. Par rapport à 1922, année de la for mation de l'U.R.S.S., le volume global de la production indus trielle du pays a augmenté de 320 fois en 1972 et de 14 fois par rapport à 1940. Les confins féodaux et semi-féodaux de la Russie tsariste ont vu naître et grandir de nombreux centres in dustriels et culturels, villes et vil lages bien aménagés. Durant les années d'existence de l'U.R.S.S., le volume de la production industrielle du Ka zakhstan a augmenté de 600 fois, celui du Tadjikistan de plus de 400 fois, d'Ouzbékistan de pres que 240 fois, de Turkménie de plus de 130 fois. En Ouzbékis tan, la récolte globale du coton s'est accrue de 120 fois, et en Turkménie, de 90 fois, la production du grain au Kazakhstan a augmenté de près de 30 fois. D'énormes changements ont été enregistrés en Biélorussie, en Moldavie, en Sibérie et dans d'autres régions du pays, jadis arriérées. Les anciens confins na tionaux sont alphabétisés depuis longtemps. Ils possèdent leurs propres universités, académies des sciences, leur culture est en plein essor. Par rapport à 1940, les reve nus réels de la population du pays se sont accrus de plus de 4 fois ; la circulation des marchan dises de détail a augmenté de plus de 7 fois ; le nombre de médecins de 4,7 fois et celui des citoyens ayant reçu l'instruction supérieure, secondaire de dix ans et secondaire de huit ans, de 6,5 fois. En outre, de profonds change ments sont intervenus au cours des 50 dernières années dans les rapports sociaux. L'exploitation de l'homme par l'homme a été abolie en U.R.S.S. depuis long temps et à jamais. Le peuple so viétique tout entier est constitué maintenant de classes et grou pes sociaux, socialistes. Il est ci menté par la communauté des objectifs et de la conception du monde. Son but est le communis me, la base de sa conception du monde est le marxisme-léninis me. La classe ouvrière, force productive principale de la socié té, classe la plus progressiste de l'époque actuelle ; la paysannerie kolkhozienne qui a jeté aux ou bliettes la mentalité du proprié taire privé ; les intellectuels so- 88"
LC_O_120263_1973_0090.jpg,90," viétiques qui consacrent toutes leurs forces créatrices à l'édifica tion du communisme, ont radica lement changé. D'importants détachements de la classe ouvrière se sont formées dans toutes les républiques fédé rées et autonomes, dans toutes les régions et arrondissements nationaux. C'est la classe ouvriè re, la plus internationaliste de par sa nature, qui joue le rôle décisif dans le rapprochement graduel de toutes les nations et ethnies de l'U.R.S.S. Ce sont les ouvriers de toutes les nationali tés, groupés en collectivités de production unies, qui créent par tout des ouvrages industriels, construisent les voies ferrées, les canaux, les oléoducs et les lignes de transmission électrique reliant différentes parties du pays, les républiques fédérées et autono mes, les territoires et régions en un ensemble économique cohé rent. La culture socialiste, unie par l'esprit et le contenu de principe, aux formes nationales diverses et internationale par son essence même, s'est épanouie. Elle inclut les éléments les plus importants de la culture de chaque peuple du pays, puise aux richesses spi rituelles des autres peuples et, à son tour, exerce sur eux une in fluence bénéfique et les enrichit. C'est ainsi que sont créées les ba ses d'une culture nouvelle, com muniste, qui ne connaît pas de barrières nationales et sert la so ciété tout entière, en contribuant au rapprochement des peuples. Le développement multiforme des langues de toutes les nations et nationalités socialistes de l'U nion Soviétique est un résultat important de la solution de la question nationale en U.R.S.S. Plus de 40 peuples qui aupara vant n'avaient pas d'écriture en ont acquis une, scientifiquement élaborée, et ont maintenant de riches langues littéraires. Toutes les nations et ethnies de l'U.R.S.S. ont volontairement choisi la langue russe comme ins trument de communication qu'el les utilisent pour leurs contacts et leur coopération. La langue russe est donc devenue un puis sant instrument de liaison et d'union des peuples soviétiques, un moyen d'accéder aux meilleu res réalisations de la culture na tionale et mondiale, Tune des langues mondiales universelle ment reconnues. Les efforts du peuple soviéti que sont dignement couronnés par la construction en U.R.S.S. d'une société socialiste évoluée dans laquelle : l'économie fédérale, complexe étroitement uni qui comprend l'économie nationale des républi ques et qui se développe selon un plan d'Etat unique conforme à l'intérêt de tout le pays et de chaque république prise séparé ment, a atteint un niveau élevé de développement ; l'antagonisme de classe et l'an tagonisme national ont été éli minés. La société dans son en semble ainsi que chaque nation, chaque ethnie a une structure so ciale de même type, constituée par la classe ouvrière, la paysan nerie kolkhozienne et les travail leurs intellectuels ; est assuré le développement multiforme, dans une unité in dissoluble, de l'Etat aux niveaux 89"
LC_O_120263_1973_0091.jpg,91," LE KREMLIN DE MOSCOU Les chifres signifient : 1-Tour Spasskaïa. 2-Tour Sénatskaïa. 3-Tour Nikolskaïa. 4-Tour Arsénalnaïa du coin. 5-Tour Arsénalnaïa moyen ne. 6-Tour Troïtskaïa. 7-Pont Troïtski. 8-Tour Koutafia. 9-Tour Komendan- tskaïa. 10-Tour Oroujéinaïa. 11-Tour Borovitskaïa. 12-Tour Vodovzvodnaïa. 13-Tour Blagovechtchenskaïa. 14-Tour Taïnitskaïa. 15-Tour lre Bézymian- naïa. 16-Tour 2e Bézymiannaïa. 17- Tour Pétrovskaïa. 18-Tour Béklémi- chevskaïa (Moskvoretskaïa), 19-Tour Konstantino-Eléninskaïa. 20-Tour Na- 90"
LC_O_120263_1973_0092.jpg,92," batnaïa. 21-Tour Tsarskaïa. 22-Cathé- drale de l'Assomption. 23-Cathédrale de l'Annonciation. 24-Cathédrale de l'Archange Saint-Michel. 25-Palais à Facettes. 26-Clocher Ivan-le-Grand. 27-Cloche-Reine. 28-Prince des Canons. 29-Cathédrale des Douze Apôtres. 30- Palais des Congrès. 31-Ancien Arsenal. 32-Obélisque aux commandants et aux élèves de l'école militaire du Kremlin. 33-Grand Palais du Kremlin. 34-Palais des Armures. 35-Monument à Vladi mir Lénine. 36-Mausolée de Vladimir Lénine. 37-Musée « Cathédrale de l'Intercession de la Sainte-Vierge » (église Basile-le-Bienheureux). 38-Grand magasin GOUM. 39-Musée Historique 40-Tombe du Soldat inconnu. 41-Obé- lisque aux penseurs révolutionnaires. 42-Jardin Alexandrovski. * Le Kremlin de Moscou est le berceau de la ville. Admirablement situé sur la rive gauche de la Moscova, il est l'un des plus beaux ensembles architecturaux du monde. Le Kremlin abrite de remarquables monuments de l'architecture rus se des XV-XVIIes siècles : les cathédrales de l'Assomption, de l'Annonciation et de l'Archange Saint-Michel, le Clocher Ivan-le-Grand, le Palais à Facettes, le Palais du Térem, etc. Au XVIIIe siècle ont été construits : l'Arsenal, l'édifice du Sénat (à présent siège du gouvernement de l'U.R.S.S.), au XIXe siècle, le Grand Palais du Kremlin (siège du Soviet Suprême de l'U.R.S.S.), le Palais des Armures et, enfin, au XXe siècle ont été édifiés le Théâtre du Kremlin et le Palais des Congrès. Parmi les tours les plus importantes du Kremlin, notons la Tour Spasskaïa, avec son horloge, carillon du Kremlin, la Tour Nikolskaïa, la Tour Troïtskaïa, la Tour Borovitskaïa (toutes les quatre dotées de portes et la Tour Vodovzvodnaïa. En 1937, elles ont été couronnées d'étoiles de rubis luminescentes. En face du Kremlin se trouve la Place Rouge où ont lieu mee tings solennels, revues militaires et manifestations. On peut y voir également le Mausolée de V. Lénine, la cathédrale Basile-le-Bienheureux (XVIe siècle), le monument à Minine et Pojarski et le Musée Historique. 91"
